A1,A2,B1,B2,C1,C2
a,ability,absolutely,abandon,abolish,abate
an,able,academic,absolute,abortion,aberration
about,abroad,access,absorb,absence,abhor
above,accept,accommodation,abstract,absent,abiding
across,accident,account,academic,absurd,absolve
action,according to,achievement,accent,abuse,abstain
activity,achieve,act,acceptable,academy,abstentions
actor,act,ad,accidentally,accelerate,abstruse
actress,active,addition,accommodate,acceptance,accentuate
add,actually,admire,accommodation,accessible,acclaimed
address,adult,admit,accompany,accomplishment,accede
adult,advantage,advanced,accomplish,accordingly,accolade
advice,adventure,advise,account,accountability,accredit
afraid,advertise,afford,accountant,accountable,accreditation
after,advertisement,age,accuracy,accumulate,accrue
afternoon,advertising,aged,accurate,accumulation,acerbic
again,affect,agent,accurately,accusation,acquiescence
age,after,agreement,accuse,accused,acquiesce
ago,against,ahead,acknowledge,acid,acquit
agree,ah,aim,acquire,acquisition,acrimonious
air,airline,alarm,acre,activation,acrimony
airport,alive,album,activate,activist,acuity
all,all,alcohol,actual,acute,adamant
also,all right,alcoholic,adapt,adaptation,adherence
always,allow,alternative,addiction,adhere,admittance
amazing,almost,amazed,additional,adjacent,admonish
and,alone,ambition,additionally,adjustment,adroit
angry,along,ambitious,address,administer,afflatus
animal,already,analyse,adequate,administrative,affinity
another,alternative,analysis,adequately,administrator,alacrity
answer,although,announce,adjust,admission,albeit
any,among,announcement,administration,adolescent,alleviate
anyone,amount,annoy,adopt,adoption,allude
anything,ancient,annoyed,advance,adverse,aloof
apartment,ankle,annoying,affair,advocate,altruistic
apple,any,apart,affordable,aesthetic,amenable
April,anybody,apologise,afterwards,affection,ambivalent
area,any more,application,aged,aftermath,ambrosial
arm,anyway,appointment,agency,aggression,ameliorate
around,anywhere,appreciate,agenda,agricultural,anachronistic
arrive,app,approximately,aggressive,aide,analogous
art,appear,arrest,agriculture,alert,animosity
article,appearance,arrival,aid,align,annum
artist,apply,assignment,AIDS,alignment,anomaly
as,architect,assist,aircraft,alike,antagonize
ask,architecture,atmosphere,alarm,allegation,antipathy
at,argue,attach,alien,allege,antiquated
August,argument,attitude,alongside prep,allegedly,antiquity
aunt,army,attract,alter,alliance,antithesis
autumn,arrange,attraction,altogether,allocate,apathetic
away,arrangement,authority,ambitious,allocation,apostle
baby,as,average,ambulance,allowance,appease
back,asleep,award,amount,ally,apprehensive
bad,assistant,aware,amusing,aluminium,arduous
bag,athlete,backwards,analyst,amateur,arguably
ball,attack,bake,ancestor,ambassador,ascertain
banana,attend,balance,anger,amend,assiduous
band,attention,ban,angle,amendment,assuage
bank (money),attractive,bank (river),animation,amid,astute
bath,audience,base,anniversary,analogy,auspicious
bathroom,author,basic,annual,anchor,austere
be,available,basis,annually,angel,avarice
beach,average,battery,anticipate,anonymous,axiomatic
beautiful,avoid,battle,anxiety,apparatus,backlash
because,award,beauty,anxious,apparel,bad blood
become,awful,bee,apology,appealing,baleful
bed,back,belief,apparent,appetite,banal
bedroom,background,bell,apparently,applaud,bear up
beer,badly,bend,appeal,applicable,belie
before,bar,benefit,applicant,appoint,bellicose
begin,baseball,better,approach,appreciation,belligerent
beginning,based,bite,appropriate,arbitrary,benevolent
behind,basketball,block,appropriately,architectural,bequeath
believe,bean,board,approval,archive,bequest
below,bear (animal),bomb,approve,arena,berate
best,beat,border,arise,arm (v),beset
better,beef,bother,armed,array,besotted
between,before,branch,arms,articulate,betrayal
bicycle,behave,brand,arrow,ash,bewitching
big,behaviour,brave,artificial,aspiration,bilateral
bike,belong,breath,artistic,aspire,billow
bill,belt,breathe,artwork,assassination,bite the bullet
bird,benefit,breathing,ashamed,assault,boisterous
birthday,best,bride,aspect,assemble,bombastic
black,better,bubble,assess,assembly,brusque
blog,between,bury,assessment,assert,cacophony
blonde,billion,by,asset,assertion,callous
blue,bin,calm,assign,assurance,candour
boat,biology,campaign,assistance,asylum,capitulate
body,birth,campus,associate,atrocity,capricious
book,biscuit,candidate,associated,attain,cardinal
boot,bit,cap,association,attendance,castigate
bored,blank,captain,assume,attribute,catastrophe
boring,blood,careless,assumption,auction,caustic
born,blow,category,assure,audit,censure
both,board,ceiling,astonishing,authentic,chagrin
bottle,boil,celebration,athletic,authorise,chastise
box,bone,central,attachment,auto,churlish
boy,book,centre,attempt,autonomy,circumspect
boyfriend,borrow,ceremony,audio,autumn,clandestine
bread,boss,chain,awareness,availability,clemency
break,bottom,challenge,awkward,await,clique
breakfast,bowl,champion,back,backdrop,cloistered
bring,brain,channel,bacteria,backing,coalesce
brother,bridge,chapter,badge,backup,coerce
brown,bright,charge,balanced,bail,cogent
build,brilliant,cheap,ballet,ballot,colossal
building,broken,cheat,balloon,bankruptcy,commensurate
bus,brush,cheerful,bar,banner,compatriot
business,burn,chemical,barely,bare,complacent
busy,businessman,chest,bargain,barrel,complementary
but,button,childhood,barrier,bass,compulsion
butter,camp,claim,basement,battlefield,conciliatory
buy,camping,clause,basically,bay,condone
by,can,clear,basket,beam,confound
bye,care,click,bat,beast,conjecture
cafe,careful,client,battle,behalf,connive
cake,carefully,climb,bear (deal with),behavioural,conquest
call,carpet,close,beat,beloved,consciously
camera,cartoon,cloth,beg,bench,consolidation
can,case,clue,being,benchmark,contrition
cannot,cash,coach,beneficial,beneath,conundrum
capital,castle,coal,bent,beneficiary,convene
car,catch,coin,beside prep,betray,convergence
card,cause,collection,besides prep,beverage,convoluted
career,celebrate,coloured,bet,bind,copious
carrot,celebrity,combine,beyond,biography,coquettish
